question_id,subject,model,mode,model_extracted_output,correct_answer,correct,notes,request_time_ms
Polymer_Science_and_Technology_Fried_Example 1.2,Materials: Polymers,openai/gpt-4o-mini,multimodal,"(50500, 100000)","(21498, 50500)",N,llm_only,11122
Polymer_Science_and_Technology_Fried_Example 2.1,Materials: Polymers,openai/gpt-4o-mini,multimodal,0.435,0.404,N,llm_only,10953
Polymer_Science_and_Technology_Fried_Example 13.2,Materials: Polymers,openai/gpt-4o-mini,multimodal,0.196,0.187,N,llm_only,16241
Polymer_Science_and_Technology_Fried_Example 13.3,Materials: Polymers,openai/gpt-4o-mini,multimodal,20.4,421,N,llm_only,9955
Polymer_Science_and_Technology_Fried_Example 13.4,Properties: Magnetic,openai/gpt-4o-mini,multimodal,14,$6.0 \times 10^{-11}$,N,llm_only,6357
Polymer_Science_and_Technology_Fried_Example 13.5,Materials: Polymers,openai/gpt-4o-mini,multimodal,6,18.9,N,llm_only,15517
Polymer_Science_and_Technology_Fried_Example 13.9,Materials: Polymers,openai/gpt-4o-mini,multimodal,0.2,11.8,N,llm_only,11462
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.3,Fundamental: Crystal Structure,openai/gpt-4o-mini,multimodal,3,0.627,N,llm_only,14960
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.5,Materials: Polymers,openai/gpt-4o-mini,multimodal,"(2, 4)","(4, 8)",N,llm_only,13683
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.6,Materials: Metals,openai/gpt-4o-mini,multimodal,0.34,0.340,Y,llm_only,10468
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.20,Materials: Metals,openai/gpt-4o-mini,multimodal,22.5,"(38.5, 44.8, 65.3)",N,llm_only,16393
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 4.2,Materials: Metals,openai/gpt-4o-mini,multimodal,"(0.051, 0.621)","(0.0192, 4.01)",N,llm_only,13495
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 4.5,Materials: Metals,openai/gpt-4o-mini,multimodal,8.19,8.19,Y,llm_only,8765
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 4.7,Materials: Metals,openai/gpt-4o-mini,multimodal,6,0.734,N,llm_only,16751
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 5.2,Materials: Metals,openai/gpt-4o-mini,multimodal,660,8.82E-04,Y,llm_only,14107
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 5.3,Materials: Metals,openai/gpt-4o-mini,multimodal,200,2.45 \times 10^{19},N,llm_only,8920
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 5.8,Materials: Metals,openai/gpt-4o-mini,multimodal,2,"(2.19, 21.9)",N,llm_only,14897
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.5,Materials: Polymers,openai/gpt-4o-mini,multimodal,8.21 \times 10^{12},2.83E+09,N,llm_only,9796
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 8.1,Materials: Metals,openai/gpt-4o-mini,multimodal,1,2,N,llm_only,8409
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 8.4,Materials: Metals,openai/gpt-4o-mini,multimodal,100,100,Y,llm_only,6552
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 8.5,Materials: Glasses,openai/gpt-4o-mini,multimodal,1,140,N,llm_only,13222
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 9.4,Materials: Metals,openai/gpt-4o-mini,multimodal,"(0.89, 0.11)","(885, 115)",N,llm_only,13629
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 9.5,Materials: Ceramics,openai/gpt-4o-mini,multimodal,"(20, 80)","(53.8, 46.2)",N,llm_only,7424
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 9.6,Materials: Metals,openai/gpt-4o-mini,multimodal,7,"(0.667, 0.50)",N,llm_only,12623
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 9.7,Materials: Metals,openai/gpt-4o-mini,multimodal,0.36,0.360,Y,llm_only,11287
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 9.8,Materials: Metals,openai/gpt-4o-mini,multimodal,"(0, 25)","(9.40, 30.0)",N,llm_only,12261
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 9.9,Materials: Metals,openai/gpt-4o-mini,multimodal,12,"(595, 1, 577, 236, 3.8, 10.9, 85.0)",N,llm_only,16761
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 9.10,Materials: Metals,openai/gpt-4o-mini,multimodal,8.57,8.49,Y,llm_only,14196
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 9.11,Properties: Thermal,openai/gpt-4o-mini,multimodal,"((L, \alpha\text{-Pb}), (61.9, 19), (72.2, 27.7))","(11.1, 88.9, 52.1, 47.9)",N,llm_only,10648
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 9.12,Materials: Ceramics,openai/gpt-4o-mini,multimodal,"(66.67, 33.33)","(44.5, 55.5)",N,llm_only,10800
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 10.2,Materials: Metals,openai/gpt-4o-mini,multimodal,"(10, 100)","(3.5, 480)",N,llm_only,6656
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 10.3,Materials: Metals,openai/gpt-4o-mini,multimodal,"(M, B, M)","(30 \% \gamma + 70 \% \text{ fine pearlite }(\alpha + \mathrm{Fe}_{3} \mathrm{C}), 30 \% \text{ bainite }(\alpha + \mathrm{Fe}_{3} \mathrm{C}) + 70 \% \text{ fine pearlite }(\alpha + \mathrm{Fe}_{3} \mathrm{C}), 70 \% \text{ fine pearlite }(\alpha + \mathrm{Fe}_{3} \mathrm{C}) + \sim 30 \% \text{ martensite})",N,llm_only,11047
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 10.4,Materials: Metals,openai/gpt-4o-mini,multimodal,"(416.67, 252.86, 942.86)","(420, 250, 940)",Y,llm_only,10116
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 10.8,Materials: Metals,openai/gpt-4o-mini,multimodal,"(0, 2)","(8.49,8.49)",N,llm_only,16845
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 10.10,Materials: Metals,openai/gpt-4o-mini,multimodal,0,62,N,llm_only,6079
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 11.25,Materials: Metals,openai/gpt-4o-mini,multimodal,"(1.0048, 98.9)","(3.62e-4, 99.999638)",N,llm_only,9231
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 12.1,Materials: Polymers,openai/gpt-4o-mini,multimodal,2,0.162,N,llm_only,13040
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 12.4,Materials: Polymers,openai/gpt-4o-mini,multimodal,14,8.43E+24,N,llm_only,9172
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.1,Materials: Metals,openai/gpt-4o-mini,multimodal,29460.5,2.95E+07,N,llm_only,10707
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.5,Properties: Thermal,openai/gpt-4o-mini,multimodal,0,4.58E-48,N,llm_only,9068
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.11,Materials: Semiconductors,openai/gpt-4o-mini,multimodal,"(0.0036, 0)","(10.56 \times 10^{-30}, 0)",N,llm_only,12044
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.12,Properties: Electrical,openai/gpt-4o-mini,multimodal,0.0163,0.165,N,llm_only,12719
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.17,Materials: Semiconductors,openai/gpt-4o-mini,multimodal,0.0206,2.2E-08,N,llm_only,13348
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 14.2,Materials: Glasses,openai/gpt-4o-mini,multimodal,43.5,43.3,Y,llm_only,8831
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 14.11,Materials: Metals,openai/gpt-4o-mini,multimodal,"(0.56, -4 \times 10^4)","(0.56, -4e4)",Y,llm_only,6903
