model,prompt_version,subject,n,accuracy
openai/gpt-3.5-turbo,baseline_regex_v1,abstract_algebra,20,0.35
openai/gpt-3.5-turbo,baseline_regex_v1,anatomy,27,0.7407407407407407
openai/gpt-3.5-turbo,baseline_regex_v1,astronomy,30,0.5333333333333333
openai/gpt-3.5-turbo,baseline_regex_v1,business_ethics,20,0.6
openai/gpt-3.5-turbo,baseline_regex_v1,clinical_knowledge,53,0.6792452830188679
openai/gpt-3.5-turbo,baseline_regex_v1,college_biology,29,0.7931034482758621
openai/gpt-3.5-turbo,baseline_regex_v1,college_chemistry,20,0.55
openai/gpt-3.5-turbo,baseline_regex_v1,college_computer_science,20,0.55
openai/gpt-3.5-turbo,baseline_regex_v1,college_mathematics,20,0.45
openai/gpt-3.5-turbo,baseline_regex_v1,college_medicine,35,0.6285714285714286
openai/gpt-3.5-turbo,baseline_regex_v1,college_physics,20,0.5
openai/gpt-3.5-turbo,baseline_regex_v1,computer_security,20,0.8
openai/gpt-3.5-turbo,baseline_regex_v1,conceptual_physics,47,0.46808510638297873
openai/gpt-3.5-turbo,baseline_regex_v1,econometrics,23,0.5652173913043478
openai/gpt-3.5-turbo,baseline_regex_v1,electrical_engineering,29,0.6206896551724138
openai/gpt-3.5-turbo,baseline_regex_v1,elementary_mathematics,76,0.4605263157894737
openai/gpt-3.5-turbo,baseline_regex_v1,formal_logic,25,0.4
openai/gpt-3.5-turbo,baseline_regex_v1,global_facts,20,0.4
openai/gpt-3.5-turbo,baseline_regex_v1,high_school_biology,62,0.7741935483870968
openai/gpt-3.5-turbo,baseline_regex_v1,high_school_chemistry,41,0.6097560975609756
openai/gpt-3.5-turbo,baseline_regex_v1,high_school_computer_science,20,0.65
openai/gpt-3.5-turbo,baseline_regex_v1,high_school_european_history,33,0.7272727272727273
openai/gpt-3.5-turbo,baseline_regex_v1,high_school_geography,40,0.775
openai/gpt-3.5-turbo,baseline_regex_v1,high_school_government_and_politics,39,0.8974358974358975
openai/gpt-3.5-turbo,baseline_regex_v1,high_school_macroeconomics,78,0.5897435897435898
openai/gpt-3.5-turbo,baseline_regex_v1,high_school_mathematics,54,0.42592592592592593
openai/gpt-3.5-turbo,baseline_regex_v1,high_school_microeconomics,48,0.75
openai/gpt-3.5-turbo,baseline_regex_v1,high_school_physics,30,0.36666666666666664
openai/gpt-3.5-turbo,baseline_regex_v1,high_school_psychology,109,0.8990825688073395
openai/gpt-3.5-turbo,baseline_regex_v1,high_school_statistics,43,0.46511627906976744
openai/gpt-3.5-turbo,baseline_regex_v1,high_school_us_history,41,0.9512195121951219
