question_id,subject,model,mode,model_extracted_output,correct_answer,correct,notes,request_time_ms
Polymer_Science_and_Technology_Fried_Example 1.1,Materials: Polymers,openai/o4-mini,text_only,"(31250,\;62000,\;1.984)","(31250, 62000, 1.98)",Y,llm_only,13756
Polymer_Science_and_Technology_Fried_Example 1.3,Materials: Polymers,openai/o4-mini,text_only,"\left(-\frac{1}{\ln p},-\frac{2}{\ln p}\right)","($\frac{1}{1-p}$, $\frac{1+p}{1-p}$)",N,llm_only,19455
Polymer_Science_and_Technology_Fried_Example 2.2,Materials: Polymers,openai/o4-mini,text_only,6.42\times10^4,64055,N,llm_only,24053
Polymer_Science_and_Technology_Fried_Example 2.3,Materials: Polymers,openai/o4-mini,text_only,2.43\times10^4,24324,N,llm_only,9579
Polymer_Science_and_Technology_Fried_Example 13.1,Materials: Polymers,openai/o4-mini,text_only,1.06,1.073,N,llm_only,23897
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.1,Materials: Metals,openai/o4-mini,text_only,6.6\times10^{10},6.64E+10,Y,llm_only,11379
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.2,Structures: Composites,openai/o4-mini,text_only,3.60,3.60,Y,llm_only,11662
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.3,Materials: Metals,openai/o4-mini,text_only,"(13.98,2.41,2.41)","(13.97, 2.408, 24.08)",N,llm_only,10157
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.6_1,Structures: Composites,openai/o4-mini,text_only,"(8.72\times10^{-9},\;8.72\times10^{-9})","($8.64 \times 10^{-9}$, $-8.64 \times 10^{-9}$)",N,llm_only,16299
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.6_2,Materials: Metals,openai/o4-mini,text_only,"(2.96\times10^{-9},2.96\times10^{-9})","(2.98 \times 10^{-9}, -2.98 \times 10^{-9})",N,llm_only,15255
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.7,Materials: Metals,openai/o4-mini,text_only,\sqrt{3}-1,0.732,N,llm_only,11095
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.8,Materials: Ceramics,openai/o4-mini,text_only,"(6,2,8,6,4,6)","(6, 2, 8, 6, 4, 6)",Y,llm_only,7774
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.9,Materials: Polymers,openai/o4-mini,text_only,-60,60,Y,llm_only,15808
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.11,Materials: Polymers,openai/o4-mini,text_only,127,126,N,llm_only,18106
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.13,Fundamental: Atomic Bonding,openai/o4-mini,text_only,"(3.82\times10^{-10},-1.66\times10^{-21})","(0.382, -0.999)",N,llm_only,18548
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.2,Materials: Metals,openai/o4-mini,text_only,8.90\times10^3,8.89,N,llm_only,21178
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.4,Fundamental: Crystal Structure,openai/o4-mini,text_only,3.61,3.61,N,llm_only,12913
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.7,Materials: Semiconductors,openai/o4-mini,text_only,2.36,2.36,Y,llm_only,20434
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.9,Fundamental: Crystal Structure,openai/o4-mini,text_only,"fcc:\;\bigl((0,0,0),(1/2,1/2,0),(1,1,0)\bigr)
\quad
fco:\;\bigl((0,0,0),(1/2,1/2,0),(1,1,0)\bigr)","(000, $\frac{1}{2} \frac{1}{2} 0$, 110)",Y,llm_only,49039
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.11,Fundamental: Crystal Structure,openai/o4-mini,text_only,\arccos\!\bigl(\tfrac{\sqrt{6}}{3}\bigr),35.3,Y,llm_only,10934
