model,prompt_version,subject,n,accuracy
openai/gpt-4o,paper_style,Math,212,0.4952830189
openai/gpt-4o,paper_style,Chemistry,202,0.6831683168
openai/gpt-4o,paper_style,Physics,215,0.5953488372
openai/gpt-4o,paper_style,Biology,211,0.6967253462
openai/gpt-4o,paper_style,__OVERALL_WEIGHTED__,840,0.6166774382
openai/gpt-4o,v1_baseline,Math,212,0.4858490566
openai/gpt-4o,v1_baseline,Chemistry,202,0.6138613861
openai/gpt-4o,v1_baseline,Physics,215,0.5069767442
openai/gpt-4o,v1_baseline,Biology,211,0.6872037915
openai/gpt-4o,v1_baseline,__OVERALL_WEIGHTED__,840,0.5726190476
openai/gpt-4o,v2_reasoning,Math,212,0.5849056604
openai/gpt-4o,v2_reasoning,Chemistry,202,0.7475247525
openai/gpt-4o,v2_reasoning,Physics,215,0.6325581395
openai/gpt-4o,v2_reasoning,Biology,211,0.6303317536
openai/gpt-4o,v2_reasoning,__OVERALL_WEIGHTED__,840,0.6476190476
openai/gpt-4o,v3_concise,Math,212,0.6179245283
openai/gpt-4o,v3_concise,Chemistry,202,0.7178217822
openai/gpt-4o,v3_concise,Physics,215,0.5953488372
openai/gpt-4o,v3_concise,Biology,211,0.7014218009
openai/gpt-4o,v3_concise,__OVERALL_WEIGHTED__,840,0.6571428571
openai/gpt-4o,v4_detailed,Math,212,0.5754716981
openai/gpt-4o,v4_detailed,Chemistry,202,0.6435643564
openai/gpt-4o,v4_detailed,Physics,215,0.5906976744
openai/gpt-4o,v4_detailed,Biology,211,0.6966824645
openai/gpt-4o,v4_detailed,__OVERALL_WEIGHTED__,840,0.6261904762
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
openai/gpt-4o,paper_style,__OVERALL_WEIGHTED__,215,0.5953488372
,,,,
openai/gpt-4o,v1_baseline,__OVERALL_WEIGHTED__,215,0.5069767442
,,,,
openai/gpt-4o,v2_reasoning,__OVERALL_WEIGHTED__,215,0.6325581395
,,,,
openai/gpt-4o,v3_concise,__OVERALL_WEIGHTED__,215,0.5953488372
,,,,
openai/gpt-4o,v4_detailed,__OVERALL_WEIGHTED__,215,0.5906976744
