question_id,subject,model,mode,model_extracted_output,correct_answer,correct,notes,request_time_ms
Polymer_Science_and_Technology_Fried_Example 1.1,Materials: Polymers,openai/gpt-4o-mini,text_only,250,"(31250, 62000, 1.98)",Y,llm_only,19302
Polymer_Science_and_Technology_Fried_Example 1.3,Materials: Polymers,openai/gpt-4o-mini,text_only,3,"($\frac{1}{1-p}$, $\frac{1+p}{1-p}$)",N,llm_only,19627
Polymer_Science_and_Technology_Fried_Example 2.2,Materials: Polymers,openai/gpt-4o-mini,text_only,64166.5,64055,Y,llm_only,9822
Polymer_Science_and_Technology_Fried_Example 2.3,Materials: Polymers,openai/gpt-4o-mini,text_only,8.694,24324,N,llm_only,6360
Polymer_Science_and_Technology_Fried_Example 13.1,Materials: Polymers,openai/gpt-4o-mini,text_only,3.23,1.073,N,llm_only,22775
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.1,Materials: Metals,openai/gpt-4o-mini,text_only,-13,6.64E+10,Y,llm_only,16817
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.2,Structures: Composites,openai/gpt-4o-mini,text_only,3.607,3.60,Y,llm_only,8796
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.3,Materials: Metals,openai/gpt-4o-mini,text_only,"(14.00, 2.41, 2.41)","(13.97, 2.408, 24.08)",N,llm_only,7794
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.6_1,Structures: Composites,openai/gpt-4o-mini,text_only,,"($8.64 \times 10^{-9}$, $-8.64 \times 10^{-9}$)",Y,llm_only,20275
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.6_2,Materials: Metals,openai/gpt-4o-mini,text_only,12,"(2.98 \times 10^{-9}, -2.98 \times 10^{-9})",N,llm_only,24338
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.7,Materials: Metals,openai/gpt-4o-mini,text_only,0.414,0.732,N,llm_only,10709
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.8,Materials: Ceramics,openai/gpt-4o-mini,text_only,4,"(6, 2, 8, 6, 4, 6)",Y,llm_only,19537
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.9,Materials: Polymers,openai/gpt-4o-mini,text_only,650,60,N,llm_only,16138
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.11,Materials: Polymers,openai/gpt-4o-mini,text_only,770,126,N,llm_only,7992
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.13,Fundamental: Atomic Bonding,openai/gpt-4o-mini,text_only,2,"(0.382, -0.999)",N,llm_only,21977
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.2,Materials: Metals,openai/gpt-4o-mini,text_only,8.96,8.89,N,llm_only,14504
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.4,Fundamental: Crystal Structure,openai/gpt-4o-mini,text_only,2,3.61,N,llm_only,20029
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.7,Materials: Semiconductors,openai/gpt-4o-mini,text_only,2.35,2.36,Y,llm_only,17614
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.9,Fundamental: Crystal Structure,openai/gpt-4o-mini,text_only,2,"(000, $\frac{1}{2} \frac{1}{2} 0$, 110)",N,llm_only,24393
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.11,Fundamental: Crystal Structure,openai/gpt-4o-mini,text_only,\cos^{-1}\left(\frac{\sqrt{6}}{3}\right),35.3,N,llm_only,14501
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.12,Properties: Mechanical,openai/gpt-4o-mini,text_only,"\left( \frac{1}{3}, -1, 1 \right)","($\frac{1}{3}$, -1, 1)",Y,llm_only,6570
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.14,Materials: Metals,openai/gpt-4o-mini,text_only,0.404,"(3.65, 1.43)",N,llm_only,21337
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.15,Materials: Metals,openai/gpt-4o-mini,text_only,3,"(5.77, 14.1)",N,llm_only,25563
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.17,Materials: Metals,openai/gpt-4o-mini,text_only,1,13.1,N,llm_only,21089
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.18,Materials: Semiconductors,openai/gpt-4o-mini,text_only,7.38,2.14,N,llm_only,14654
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.19,Materials: Metals,openai/gpt-4o-mini,text_only,126.5,7.91,N,llm_only,20174
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 4.3,Materials: Metals,openai/gpt-4o-mini,text_only,1.38 \times 10^{24},1.38E+24,Y,llm_only,14175
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 4.4,Materials: Metals,openai/gpt-4o-mini,text_only,"(0.248, 0.202)","(0.248, 0.286)",N,llm_only,19315
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 4.6,Structures: Micro/Nano-structure,openai/gpt-4o-mini,text_only,17,4.01,N,llm_only,10028
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 5.1,Materials: Metals,openai/gpt-4o-mini,text_only,27.0,328,N,llm_only,19667
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 5.4,Materials: Metals,openai/gpt-4o-mini,text_only,2.98,10.2,N,llm_only,28673
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 5.7,Materials: Metals,openai/gpt-4o-mini,text_only,4.32 \times 10^{-4},4.32E-04,Y,llm_only,19429
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.2,Materials: Metals,openai/gpt-4o-mini,text_only,,3.18E-03,N,llm_only,22946
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.3,Materials: Metals,openai/gpt-4o-mini,text_only,6,"(9.9964, 10.0036)",N,llm_only,20924
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.4,Materials: Glasses,openai/gpt-4o-mini,text_only,4.61,57,N,llm_only,9987
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.6,Materials: Metals,openai/gpt-4o-mini,text_only,"(0.0012048, 0.7692, 0.005)","(1.2 \times 10^{-3}, 0.77, 5.0 \times 10^{-6})",Y,llm_only,17397
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.7,Materials: Metals,openai/gpt-4o-mini,text_only,275,280,Y,llm_only,13672
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.8,Materials: Metals,openai/gpt-4o-mini,text_only,"(0.264, 2.45)","(0.264, 2.45)",Y,llm_only,15245
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.9,Materials: Metals,openai/gpt-4o-mini,text_only,239,240,Y,llm_only,16408
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.10,Materials: Metals,openai/gpt-4o-mini,text_only,2,8.68E-05,N,llm_only,18906
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.12,Materials: Elastomers,openai/gpt-4o-mini,text_only,88.68,"(41.5, 40.5)",N,llm_only,20644
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.13,Materials: Glasses,openai/gpt-4o-mini,text_only,"(10^4, 10^8, 50, 500)","(680, 858, 931, 993)",N,llm_only,10097
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 7.2,Materials: Metals,openai/gpt-4o-mini,text_only,0.8580,0.858,Y,llm_only,13003
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 7.3,Materials: Metals,openai/gpt-4o-mini,text_only,1990000,1.99 \times 10^{6},Y,llm_only,9300
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 7.4,Materials: Metals,openai/gpt-4o-mini,text_only,"(67500, 106500, 300000)","(67500, 106500, 282000)",N,llm_only,20036
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 8.2,Materials: Metals,openai/gpt-4o-mini,text_only,5.73,5.74,Y,llm_only,12455
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 8.3,Materials: Ceramics,openai/gpt-4o-mini,text_only,"(600, 1800)","(339, 1020)",N,llm_only,21528
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 8.6,Materials: Metals,openai/gpt-4o-mini,text_only,0.053,0.0534,Y,llm_only,6341
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 9.1,Materials: Metals,openai/gpt-4o-mini,text_only,2,1,N,llm_only,6687
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 9.3,Materials: Metals,openai/gpt-4o-mini,text_only,"(0.333, 0.667)","(333, 667)",N,llm_only,11011
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 10.1,Materials: Metals,openai/gpt-4o-mini,text_only,000,181,N,llm_only,20865
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 11.1,Materials: Metals,openai/gpt-4o-mini,text_only,16.43,16.3,Y,llm_only,12576
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 11.2,Materials: Glasses,openai/gpt-4o-mini,text_only,75,"(21.6, 15.0, 63.3)",N,llm_only,20902
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 11.4,Materials: Ceramics,openai/gpt-4o-mini,text_only,1855.4,698.0,N,llm_only,21396
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 11.5,Materials: Ceramics,openai/gpt-4o-mini,text_only,1853.5,698,N,llm_only,24517
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 11.6,Materials: Glasses,openai/gpt-4o-mini,text_only,-19,"(485, 509)",N,llm_only,18112
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 12.2,Materials: Polymers,openai/gpt-4o-mini,text_only,22026,15010,N,llm_only,9317
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 12.3,Materials: Polymers,openai/gpt-4o-mini,text_only,"(4.22, 115.446)","(5.96, 189)",N,llm_only,11331
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 12.5,Materials: Polymers,openai/gpt-4o-mini,text_only,1.39,1.39,Y,llm_only,16765
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 12.6,Materials: Glasses,openai/gpt-4o-mini,text_only,"(84.4, 2.108)","(84.3, 2.10)",Y,llm_only,17316
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 12.7,Materials: Metals,openai/gpt-4o-mini,text_only,2.827,2.83,Y,llm_only,9979
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 12.8,Materials: Glasses,openai/gpt-4o-mini,text_only,46200,4.62E+04,Y,llm_only,11599
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 12.9,Materials: Glasses,openai/gpt-4o-mini,text_only,0.650,0.65,Y,llm_only,7569
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 12.10,Materials: Glasses,openai/gpt-4o-mini,text_only,54897.5,5.49E+04,Y,llm_only,13593
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 12.11,Materials: Metals,openai/gpt-4o-mini,text_only,"(6600, 12600)","(6.61 \times 10^6, 12.6 \times 10^6)",Y,llm_only,18869
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.2,Materials: Metals,openai/gpt-4o-mini,text_only,1.04 \times 10^{28},1.04E+29,N,llm_only,9905
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.4,Materials: Metals,openai/gpt-4o-mini,text_only,1.75 \times 10^{-3},1.75E-03,Y,llm_only,8962
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.6,Materials: Semiconductors,openai/gpt-4o-mini,text_only,1.9 \times 10^{-19},4.39 \times 10^{-10},N,llm_only,10212
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.7,Materials: Metals,openai/gpt-4o-mini,text_only,2.541 \times 10^{7},25.4 \times 10^{6},N,llm_only,14824
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.8,Materials: Metals,openai/gpt-4o-mini,text_only,31.05 \times 10^{-9},3.1E-08,N,llm_only,15086
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.10,Properties: Electrical,openai/gpt-4o-mini,text_only,1.7 \times 10^{10},1.7E+10,Y,llm_only,7344
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.13,Properties: Thermal,openai/gpt-4o-mini,text_only,2.81 \times 10^{-14},2.8E-13,N,llm_only,26968
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 13.14,Materials: Semiconductors,openai/gpt-4o-mini,text_only,0.190,217,N,llm_only,22349
