question_id,subject,model,mode,model_extracted_output,correct_answer,correct,notes,request_time_ms
Polymer_Science_and_Technology_Fried_Example 1.2,Materials: Polymers,openai/o4-mini,multimodal,"(2.15\times10^{4},5.05\times10^{4})","(21498, 50500)",N,hybrid_llm_override,17296
Polymer_Science_and_Technology_Fried_Example 2.1,Materials: Polymers,openai/o4-mini,multimodal,0.40,0.404,Y,hybrid_llm_override,23070
Polymer_Science_and_Technology_Fried_Example 13.2,Materials: Polymers,openai/o4-mini,multimodal,0.103,0.187,N,hybrid_llm_override,11082
Polymer_Science_and_Technology_Fried_Example 13.3,Materials: Polymers,openai/o4-mini,multimodal,421,421,Y,hybrid_llm_override,14353
Polymer_Science_and_Technology_Fried_Example 13.4,Properties: Magnetic,openai/o4-mini,multimodal,-46,$6.0 \times 10^{-11}$,N,hybrid_llm_override,34616
Polymer_Science_and_Technology_Fried_Example 13.5,Materials: Polymers,openai/o4-mini,multimodal,21.8,18.9,N,hybrid_llm_override,42691
Polymer_Science_and_Technology_Fried_Example 13.9,Materials: Polymers,openai/o4-mini,multimodal,1.25\times10^{-5},11.8,N,hybrid_llm_override,20365
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.3,Fundamental: Crystal Structure,openai/o4-mini,multimodal,0.627,0.627,N,hybrid_llm_override,18081
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.5,Materials: Polymers,openai/o4-mini,multimodal,"(4,8)","(4, 8)",Y,hybrid_llm_override,15925
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.6,Materials: Metals,openai/o4-mini,multimodal,\frac{\pi\sqrt{3}}{16},0.340,Y,hybrid_llm_override,9711
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.20,Materials: Metals,openai/o4-mini,multimodal,"(38.6,\;44.9,\;65.3)","(38.5, 44.8, 65.3)",Y,hybrid_llm_override,15976
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 4.2,Materials: Metals,openai/o4-mini,multimodal,"(0.0192,4.01)","(0.0192, 4.01)",N,hybrid_llm_override,33368
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 4.5,Materials: Metals,openai/o4-mini,multimodal,8.2,8.19,N,hybrid_llm_override,9982
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 4.7,Materials: Metals,openai/o4-mini,multimodal,0.734,0.734,Y,hybrid_llm_override,10743
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 5.2,Materials: Metals,openai/o4-mini,multimodal,8.8\times10^{-4},8.82E-04,N,hybrid_llm_override,21484
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 5.3,Materials: Metals,openai/o4-mini,multimodal,2.5\times10^{19},2.45 \times 10^{19},Y,hybrid_llm_override,17095
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 5.8,Materials: Metals,openai/o4-mini,multimodal,"(2.18\times10^{-3},2.18\times10^{-5})","(2.19, 21.9)",N,hybrid_llm_override,13016
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.5,Materials: Polymers,openai/o4-mini,multimodal,2.83\times10^9,2.83E+09,N,hybrid_llm_override,12468
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 8.1,Materials: Metals,openai/o4-mini,multimodal,2,2,N,hybrid_llm_override,11669
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 8.4,Materials: Metals,openai/o4-mini,multimodal,200,100,N,hybrid_llm_override,9159
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 8.5,Materials: Glasses,openai/o4-mini,multimodal,5.0\times10^5,140,N,hybrid_llm_override,10498
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 9.4,Materials: Metals,openai/o4-mini,multimodal,"(0.887,\;0.113)","(885, 115)",N,hybrid_llm_override,16365
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 9.5,Materials: Ceramics,openai/o4-mini,multimodal,"(40,\;60)","(53.8, 46.2)",Y,hybrid_llm_override,44544
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 9.6,Materials: Metals,openai/o4-mini,multimodal,"(0.667,\;0.50)","(0.667, 0.50)",Y,hybrid_llm_override,37876
