model,prompt_version,subject,n,accuracy
openai/gpt-3.5-turbo,baseline_reasoning_v2,abstract_algebra,20,0.35
openai/gpt-3.5-turbo,baseline_reasoning_v2,anatomy,27,0.5555555555555556
openai/gpt-3.5-turbo,baseline_reasoning_v2,astronomy,30,0.7666666666666667
openai/gpt-3.5-turbo,baseline_reasoning_v2,business_ethics,20,0.8
openai/gpt-3.5-turbo,baseline_reasoning_v2,clinical_knowledge,53,0.6226415094339622
openai/gpt-3.5-turbo,baseline_reasoning_v2,college_biology,29,0.6896551724137931
openai/gpt-3.5-turbo,baseline_reasoning_v2,college_chemistry,20,0.5
openai/gpt-3.5-turbo,baseline_reasoning_v2,college_computer_science,20,0.6
openai/gpt-3.5-turbo,baseline_reasoning_v2,college_mathematics,20,0.45
openai/gpt-3.5-turbo,baseline_reasoning_v2,college_medicine,35,0.6285714285714286
openai/gpt-3.5-turbo,baseline_reasoning_v2,college_physics,20,0.85
openai/gpt-3.5-turbo,baseline_reasoning_v2,computer_security,20,0.7
openai/gpt-3.5-turbo,baseline_reasoning_v2,conceptual_physics,47,0.6170212765957447
openai/gpt-3.5-turbo,baseline_reasoning_v2,econometrics,23,0.43478260869565216
openai/gpt-3.5-turbo,baseline_reasoning_v2,electrical_engineering,29,0.6206896551724138
openai/gpt-3.5-turbo,baseline_reasoning_v2,elementary_mathematics,76,0.5263157894736842
openai/gpt-3.5-turbo,baseline_reasoning_v2,formal_logic,25,0.24
openai/gpt-3.5-turbo,baseline_reasoning_v2,global_facts,20,0.35
openai/gpt-3.5-turbo,baseline_reasoning_v2,high_school_biology,62,0.6612903225806451
openai/gpt-3.5-turbo,baseline_reasoning_v2,high_school_chemistry,41,0.5609756097560976
openai/gpt-3.5-turbo,baseline_reasoning_v2,high_school_computer_science,20,0.8
openai/gpt-3.5-turbo,baseline_reasoning_v2,high_school_european_history,33,0.6060606060606061
openai/gpt-3.5-turbo,baseline_reasoning_v2,high_school_geography,40,0.775
openai/gpt-3.5-turbo,baseline_reasoning_v2,high_school_government_and_politics,39,0.717948717948718
openai/gpt-3.5-turbo,baseline_reasoning_v2,high_school_macroeconomics,78,0.6025641025641025
openai/gpt-3.5-turbo,baseline_reasoning_v2,high_school_mathematics,54,0.6296296296296297
openai/gpt-3.5-turbo,baseline_reasoning_v2,high_school_microeconomics,48,0.6041666666666666
openai/gpt-3.5-turbo,baseline_reasoning_v2,high_school_physics,30,0.5333333333333333
openai/gpt-3.5-turbo,baseline_reasoning_v2,high_school_psychology,109,0.7247706422018348
openai/gpt-3.5-turbo,baseline_reasoning_v2,high_school_statistics,43,0.5348837209302325
openai/gpt-3.5-turbo,baseline_reasoning_v2,high_school_us_history,41,0.8048780487804879
openai/gpt-3.5-turbo,baseline_reasoning_v2,high_school_world_history,47,0.7659574468085106
openai/gpt-3.5-turbo,baseline_reasoning_v2,human_aging,45,0.6
openai/gpt-3.5-turbo,baseline_reasoning_v2,human_sexuality,26,0.6153846153846154
openai/gpt-3.5-turbo,baseline_reasoning_v2,international_law,24,0.625
openai/gpt-3.5-turbo,baseline_reasoning_v2,jurisprudence,22,0.6818181818181818
openai/gpt-3.5-turbo,baseline_reasoning_v2,logical_fallacies,33,0.696969696969697
openai/gpt-3.5-turbo,baseline_reasoning_v2,machine_learning,22,0.4090909090909091
openai/gpt-3.5-turbo,baseline_reasoning_v2,management,21,0.8571428571428571
openai/gpt-3.5-turbo,baseline_reasoning_v2,marketing,47,0.9574468085106383
openai/gpt-3.5-turbo,baseline_reasoning_v2,medical_genetics,20,0.75
openai/gpt-3.5-turbo,baseline_reasoning_v2,miscellaneous,157,0.7770700636942676
openai/gpt-3.5-turbo,baseline_reasoning_v2,moral_disputes,69,0.6231884057971014
openai/gpt-3.5-turbo,baseline_reasoning_v2,moral_scenarios,179,0.3687150837988827
openai/gpt-3.5-turbo,baseline_reasoning_v2,nutrition,61,0.6885245901639344
openai/gpt-3.5-turbo,baseline_reasoning_v2,philosophy,62,0.7096774193548387
openai/gpt-3.5-turbo,baseline_reasoning_v2,prehistory,65,0.6307692307692307
openai/gpt-3.5-turbo,baseline_reasoning_v2,professional_accounting,56,0.4642857142857143
openai/gpt-3.5-turbo,baseline_reasoning_v2,professional_law,307,0.43973941368078173
openai/gpt-3.5-turbo,baseline_reasoning_v2,professional_medicine,54,0.7962962962962963
openai/gpt-3.5-turbo,baseline_reasoning_v2,professional_psychology,122,0.639344262295082
openai/gpt-3.5-turbo,baseline_reasoning_v2,public_relations,22,0.5909090909090909
openai/gpt-3.5-turbo,baseline_reasoning_v2,security_studies,49,0.7142857142857143
openai/gpt-3.5-turbo,baseline_reasoning_v2,sociology,40,0.625
openai/gpt-3.5-turbo,baseline_reasoning_v2,us_foreign_policy,20,0.75
openai/gpt-3.5-turbo,baseline_reasoning_v2,virology,33,0.5454545454545454
openai/gpt-3.5-turbo,baseline_reasoning_v2,world_religions,34,0.7941176470588235
openai/gpt-3.5-turbo,baseline_reasoning_v2,__OVERALL_WEIGHTED__,2809,0.6123175507297971
