qid,subject,category,topic,model,shots,gold_index,gold_text,pred_index,pred_text,correct,notes,scores_json,raw_output,request_time_ms
4,language science,Literary devices,figurative-language,openai/gpt-3.5-turbo,0,1,apostrophe,1,apostrophe,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.833,"{""0"": 0.18181818181818182, ""1"": 0.8333333333333334}",(B) apostrophe,732
15,language science,Reference skills,reference-skills,openai/gpt-3.5-turbo,0,0,no,1,yes,N,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.600,"{""0"": 0.0, ""1"": 0.6}",(B) yes,590
22,language science,Reference skills,reference-skills,openai/gpt-3.5-turbo,0,1,stockade,1,stockade,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.800,"{""0"": 0.3157894736842105, ""1"": 0.8}",(B) stockade,535
26,natural science,Units and measurement,units-and-measurement,openai/gpt-3.5-turbo,0,0,33 minutes,0,33 minutes,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.833,"{""0"": 0.8333333333333334, ""1"": 0.45454545454545453}",(A) 33 minutes,547
27,language science,Literary devices,figurative-language,openai/gpt-3.5-turbo,0,1,oxymoron,1,oxymoron,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.800,"{""0"": 0.19047619047619047, ""1"": 0.8}",(B) oxymoron,540
29,natural science,Physical and chemical change,chemistry,openai/gpt-3.5-turbo,0,3,Both are chemical changes.,3,Both are chemical changes.,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.130,"{""0"": 0.1044776119402985, ""1"": 0.11330049261083744, ""2"": 0.08955223880597014, ""3"": 0.12967581047381546}","(D) Both are chemical changes. 

Both compost rotting and a piece of apple turning brown involve chemical reactions that result in the breakdown of organic matter. In the case of compost, microorganisms break down organic materials into simpler compounds, while in the case of an apple turning brown, enzymes in the apple react with oxygen in the air to produce brown pigments.",1132
47,social science,20th century American history,world-history,openai/gpt-3.5-turbo,0,3,The war would be over quickly.,3,The war would be over quickly.,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.938,"{""0"": 0.4444444444444444, ""1"": 0.5316455696202531, ""2"": 0.449438202247191, ""3"": 0.9375}",(D) The war would be over quickly.,573
51,natural science,Designing experiments,science-and-engineering-practices,openai/gpt-3.5-turbo,0,0,Does a pie crust made with white flour burn more quickly when the pie is cooked in a glass pan or in an aluminum pan?,0,Does a pie crust made with white flour burn more quickly when the pie is cooked in a glass pan or in an aluminum pan?,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.983,"{""0"": 0.9831932773109243, ""1"": 0.6347826086956522, ""2"": 0.6367713004484304}",(A) Does a pie crust made with white flour burn more quickly when the pie is cooked in a glass pan or in an aluminum pan?,1934
93,natural science,Traits and heredity,biology,openai/gpt-3.5-turbo,0,0,acquired,0,acquired,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.800,"{""0"": 0.8, ""1"": 0.38095238095238093}",(A) acquired,502
96,language science,Reference skills,reference-skills,openai/gpt-3.5-turbo,0,1,inherit,1,inherit,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.778,"{""0"": 0.26666666666666666, ""1"": 0.7777777777777778}",(B) inherit,653
