qid,subject,category,topic,model,shots,gold_index,gold_text,pred_index,pred_text,correct,notes,scores_json,raw_output,request_time_ms
5,natural science,Engineering practices,science-and-engineering-practices,openai/gpt-3.5-turbo,0,1,how steady a parachute with a 1 m vent was at 200 km per hour,1,how steady a parachute with a 1 m vent was at 200 km per hour,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.917,"{""0"": 0.6172839506172839, ""1"": 0.9172932330827067, ""2"": 0.7074829931972789}",Option (B) how steady a parachute with a 1 m vent was at 200 km per hour,664
11,social science,English colonies in North America,us-history,openai/gpt-3.5-turbo,0,1,New Hampshire,2,Rhode Island,N,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.857,"{""0"": 0.4166666666666667, ""1"": 0.20689655172413793, ""2"": 0.8571428571428571, ""3"": 0.2608695652173913}",(C) Rhode Island,580
23,natural science,Ecosystems,biology,openai/gpt-3.5-turbo,0,1,mushroom,0,bilberry,N,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.800,"{""0"": 0.8, ""1"": 0.1}",(A) bilberry,520
42,natural science,Genes to traits,biology,openai/gpt-3.5-turbo,0,1,4:0,3,1:3,N,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.017,"{""0"": 0.005780346820809248, ""1"": 0.005780346820809248, ""2"": 0.011560693641618497, ""3"": 0.017341040462427744, ""4"": 0.011560693641618497}","The expected ratio of offspring with a woolly fleece to offspring with a hairy fleece is 1:3 (D). This is because when you cross two sheep with the genotype Ff (hairy fleece) and ff (woolly fleece), the Punnett square shows that there is a 25% chance of offspring with a woolly fleece (ff) and a 75% chance of offspring with a hairy fleece (Ff or FF).",1050
46,natural science,Materials,physics,openai/gpt-3.5-turbo,0,2,opaque,0,shiny,N,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.714,"{""0"": 0.7142857142857143, ""1"": 0.35294117647058826, ""2"": 0.13333333333333333}",(A) shiny,582
61,natural science,"Velocity, acceleration, and forces",physics,openai/gpt-3.5-turbo,0,2,The magnitude of the magnetic force is smaller in Pair 2.,1,The magnitude of the magnetic force is smaller in Pair 1.,N,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.966,"{""0"": 0.8292682926829268, ""1"": 0.9661016949152542, ""2"": 0.9491525423728814}",(B) The magnitude of the magnetic force is smaller in Pair 1.,611
62,social science,State capitals,geography,openai/gpt-3.5-turbo,0,3,Cheyenne,3,Cheyenne,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.800,"{""0"": 0.3157894736842105, ""1"": 0.17391304347826086, ""2"": 0.2, ""3"": 0.8}",(D) Cheyenne,621
78,natural science,Astronomy,earth-science,openai/gpt-3.5-turbo,0,1,false,1,false,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.714,"{""0"": 0.15384615384615385, ""1"": 0.7142857142857143}",(B) false,449
85,natural science,Ecosystems,biology,openai/gpt-3.5-turbo,0,0,copepod,0,copepod,Y,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.778,"{""0"": 0.7777777777777778, ""1"": 0.4166666666666667, ""2"": 0.3157894736842105}",(A) copepod,564
86,natural science,Magnets,physics,openai/gpt-3.5-turbo,0,1,The magnetic force is stronger in Pair 1.,2,The strength of the magnetic force is the same in both pairs.,N,no_train_match_for_group -> used_0shot | strict_similarity=SequenceMatcher ratio; best_score=0.968,"{""0"": 0.6226415094339622, ""1"": 0.6226415094339622, ""2"": 0.9682539682539683}",(C) The strength of the magnetic force is the same in both pairs.,826
