question_id,subject,model,mode,model_extracted_output,correct_answer,correct,notes,request_time_ms
Polymer_Science_and_Technology_Fried_Example 1.2,Materials: Polymers,openai/o4-mini,multimodal,"(2.15\times10^4,\;5.05\times10^4)","(21498, 50500)",Y,llm_only,19993
Polymer_Science_and_Technology_Fried_Example 2.1,Materials: Polymers,openai/o4-mini,multimodal,0.402,0.404,Y,llm_only,22994
Polymer_Science_and_Technology_Fried_Example 13.2,Materials: Polymers,openai/o4-mini,multimodal,0.374,0.187,N,llm_only,19156
Polymer_Science_and_Technology_Fried_Example 13.3,Materials: Polymers,openai/o4-mini,multimodal,420.8,421,N,llm_only,7149
Polymer_Science_and_Technology_Fried_Example 13.4,Properties: Magnetic,openai/o4-mini,multimodal,0.60,$6.0 \times 10^{-11}$,N,llm_only,35364
Polymer_Science_and_Technology_Fried_Example 13.5,Materials: Polymers,openai/o4-mini,multimodal,18.9,18.9,Y,llm_only,22724
Polymer_Science_and_Technology_Fried_Example 13.9,Materials: Polymers,openai/o4-mini,multimodal,1.2\times10^{-9},11.8,N,llm_only,14932
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.3,Fundamental: Crystal Structure,openai/o4-mini,multimodal,0.628,0.627,N,llm_only,14803
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.5,Materials: Polymers,openai/o4-mini,multimodal,"(4,8)","(4, 8)",Y,llm_only,13066
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.6,Materials: Metals,openai/o4-mini,multimodal,\pi\sqrt{3}/16,0.340,Y,llm_only,14292
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.20,Materials: Metals,openai/o4-mini,multimodal,"(38.6,44.9,65.3)","(38.5, 44.8, 65.3)",Y,llm_only,11093
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 4.2,Materials: Metals,openai/o4-mini,multimodal,"(0.0192,\;4.0)","(0.0192, 4.01)",N,llm_only,13090
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 4.5,Materials: Metals,openai/o4-mini,multimodal,8.2,8.19,N,llm_only,6334
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 4.7,Materials: Metals,openai/o4-mini,multimodal,0.734,0.734,Y,llm_only,9032
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 5.2,Materials: Metals,openai/o4-mini,multimodal,8.9\times10^{-4},8.82E-04,Y,llm_only,12748
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 5.3,Materials: Metals,openai/o4-mini,multimodal,2.5\times10^{19},2.45 \times 10^{19},Y,llm_only,12756
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 5.8,Materials: Metals,openai/o4-mini,multimodal,"(2.19\times10^{-3},\;2.19\times10^{-5})","(2.19, 21.9)",N,llm_only,13764
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.5,Materials: Polymers,openai/o4-mini,multimodal,2.83\times 10^{9},2.83E+09,Y,llm_only,11786
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 8.1,Materials: Metals,openai/o4-mini,multimodal,2,2,N,llm_only,9852
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 8.4,Materials: Metals,openai/o4-mini,multimodal,160,100,N,llm_only,8174
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 8.5,Materials: Glasses,openai/o4-mini,multimodal,5.0\times10^5,140,N,llm_only,7627
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 9.4,Materials: Metals,openai/o4-mini,multimodal,"(0.8875,0.1125)","(885, 115)",N,llm_only,9119
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 9.5,Materials: Ceramics,openai/o4-mini,multimodal,"(40,\;60)","(53.8, 46.2)",N,llm_only,23052
