model,prompt_version,subject,n,accuracy
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,abstract_algebra,40,0.275
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,anatomy,54,0.5925925925925926
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,astronomy,61,0.7213114754098361
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,business_ethics,40,0.7
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,clinical_knowledge,106,0.7641509433962265
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_biology,58,0.8103448275862069
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_chemistry,40,0.45
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_computer_science,40,0.45
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_mathematics,40,0.325
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_medicine,69,0.6666666666666666
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_physics,41,0.3170731707317073
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,computer_security,40,0.725
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,conceptual_physics,94,0.5531914893617021
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,econometrics,46,0.5434782608695652
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,electrical_engineering,58,0.6551724137931034
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,elementary_mathematics,151,0.4966887417218543
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,formal_logic,50,0.48
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,global_facts,40,0.5
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_biology,124,0.8548387096774194
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_chemistry,81,0.6049382716049383
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_computer_science,40,0.825
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_european_history,66,0.7727272727272727
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_geography,79,0.8354430379746836
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_government_and_politics,77,0.948051948051948
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_macroeconomics,156,0.6858974358974359
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_mathematics,108,0.4537037037037037
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_microeconomics,95,0.6526315789473685
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_physics,60,0.35
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_psychology,218,0.8211009174311926
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_statistics,86,0.45348837209302323
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_us_history,82,0.8658536585365854
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_world_history,95,0.8
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,human_aging,89,0.7415730337078652
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,human_sexuality,52,0.8269230769230769
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,international_law,48,0.8125
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,jurisprudence,43,0.7674418604651163
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,logical_fallacies,65,0.8153846153846154
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,machine_learning,45,0.4
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,management,41,0.7804878048780488
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,marketing,94,0.9042553191489362
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,medical_genetics,40,0.75
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,miscellaneous,313,0.8849840255591054
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,moral_disputes,138,0.7318840579710145
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,moral_scenarios,358,0.329608938547486
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,nutrition,122,0.7131147540983607
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,philosophy,124,0.7580645161290323
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,prehistory,130,0.7076923076923077
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,professional_accounting,113,0.5398230088495575
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,professional_law,614,0.496742671009772
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,professional_medicine,109,0.7431192660550459
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,professional_psychology,245,0.726530612244898
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,public_relations,44,0.7272727272727273
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,security_studies,98,0.7040816326530612
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,sociology,80,0.8625
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,us_foreign_policy,40,0.95
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,virology,66,0.5757575757575758
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,world_religions,68,0.8235294117647058
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,__OVERALL_WEIGHTED__,5614,0.6574634841467759
